latency,throughput,parallel events,subscriptions
0.227257,4.398707,1,2
0.097378,20.312827,2,2
0.141490,20.775277,3,2
0.099803,37.542711,4,2
0.210237,4.755048,1,2
0.049670,39.326228,2,2
0.069550,41.240936,3,2
0.286421,13.105912,4,2
0.271626,3.680499,1,2
0.090600,21.768382,2,2
0.074835,38.521686,3,2
0.377009,10.108607,4,2
0.160632,6.222452,1,2
0.096334,20.487010,2,2
0.601238,4.918955,3,2
0.417820,8.734955,4,2
0.050485,19.775595,1,2
0.267343,7.340575,2,2
0.266549,11.108175,3,2
0.104776,35.664937,4,2
