latency,throughput,parallel events
0.168262,5.940688,1
0.227942,8.761074,2
0.462772,6.470689,3
0.576367,6.814294,4
0.748253,6.663937,5
2.201022,4.496618,10
7.150773,2.364027,20
0.173694,5.755126,1
0.256216,7.801966,2
0.583814,5.132386,3
0.628496,6.350949,4
0.725529,6.791445,5
1.662144,5.927862,10
3.276542,5.989085,20
0.233646,4.278810,1
0.188920,10.577628,2
0.470541,6.345402,3
0.557163,7.082991,4
0.820877,6.055793,5
1.744018,5.652371,10
3.024999,6.371375,20
0.203794,4.905390,1
0.290700,6.869611,2
0.405486,7.382345,3
0.847795,4.710098,4
0.912135,5.465681,5
1.652562,5.345685,10
3.033946,6.344969,20
0.203769,4.905980,1
0.411631,4.853183,2
0.477415,6.275837,3
0.600421,6.624348,4
0.833843,5.922745,5
1.727074,4.855409,10
5.141052,3.862795,20
