latency,throughput,parallel events
2.096708,0.476921,1
2.104492,0.950273,2
2.122523,1.386167,3
2.132899,1.874815,4
2.167137,2.305806,5
0.812328,12.218935,10
1.355307,14.093942,20
2.132650,0.468885,1
2.128463,0.939558,2
2.150153,1.368443,3
2.162382,1.849290,4
2.183339,2.288227,5
0.957979,10.382935,10
1.696843,11.267043,20
2.171763,0.460440,1
2.168977,0.922026,2
2.207457,1.332612,3
2.255301,1.772887,4
2.358670,2.118135,5
1.151155,8.633868,10
2.262492,8.591589,20
2.402023,0.416304,1
2.595444,0.770535,2
2.611118,1.124999,3
2.611206,1.531234,4
2.910073,1.717547,5
1.759609,5.387930,10
3.047586,5.858037,20
2.902030,0.344578,1
3.217452,0.621571,2
3.237381,0.909475,3
3.297651,1.169385,4
3.731902,1.278942,5
2.282420,4.307093,10
4.060510,4.540661,20
